name, description, animation_url, image
Liquid Collections #1, the first one, https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=0, 1.jpg
Liquid Collections #2, the second one, https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=1, 2.jpg
Liquid Collections #3, the third one, https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=2, 3.jpg
Liquid Collections #4, the fourth one, https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=3, 4.jpg
Liquid Collections #5, the fifth one, https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=4, 5.jpg
